Season,Match,Team,Opponent,Team Rating,Rating Change,Goals,Goals Allowed,Shots,Assists,Saves,xG,Covr Rate,Save Percent,Yellow Cards,Red Cards,Time
2,77,BBL,NPC,88.95,0.34,1,2,11,0,8,3.29,0.09,0.8,0,0,Final
2,78,LJP,HPA,25.45,0.0,5,0,0,0,0,3.19,0.0,0.0,0,0,Forfeit
2,78,HPA,LJP,22.13,0.0,0,5,0,0,0,2.5,0.0,0.0,0,0,Forfeit
2,79,LJP,E44,32.83,7.38,7,7,19,3,6,4.5,0.37,0.46,0,0,Final
2,79,E44,LJP,34.23,4.87,7,7,13,4,12,4.74,0.54,0.63,0,0,Final
2,80,SFA,BBL,20.46,2.79,6,9,11,4,8,1.98,0.55,0.47,0,0,Final
2,80,BBL,SFA,61.74,-24.4,9,6,17,8,5,8.75,0.53,0.45,0,0,Final
2,81,BNC,CSW,43.06,-4.31,3,1,8,2,6,3.92,0.38,0.86,0,0,Final
2,81,CSW,BNC,15.54,0.53,1,3,7,0,5,0.56,0.14,0.62,0,0,Final
2,82,HPA,TFF,20.88,0.0,0,5,0,0,0,1.68,0.0,0.0,0,0,Forfeit
2,82,TFF,HPA,45.91,0.0,5,0,0,0,0,5.13,0.0,0.0,0,0,Forfeit
2,83,SHT,NPC,17.51,1.24,3,10,10,3,12,1.15,0.3,0.55,0,0,Final
2,83,NPC,SHT,73.55,-3.46,10,3,22,7,7,9.3,0.45,0.7,0,0,Final
2,84,LJP,HBD,27.64,-3.29,3,8,10,1,18,3.26,0.3,0.69,0,0,Final
2,84,HBD,LJP,45.41,2.64,8,3,26,5,7,6.04,0.31,0.7,0,0,Final
2,85,SFA,BNC,22.5,0.72,3,5,9,0,10,1.93,0.33,0.67,0,0,Final
2,85,BNC,SFA,43.58,-4.01,5,3,15,2,6,4.8,0.33,0.67,0,0,Final
2,86,NPC,CSW,73.89,-1.1,6,1,21,4,5,5.79,0.29,0.83,0,0,Final
2,86,CSW,NPC,16.37,0.38,1,6,6,1,15,0.56,0.17,0.71,0,2,Final
